player_name,archetype,data_origin,pes_public_base_ovr,ef_public_base_ovr,pes_screenshot_ovr,pes_screenshot_position,pes_age,pes_height_cm,pes_weight_kg,pes_offensive_awareness,pes_finishing,pes_kicking_power,pes_weak_foot_usage,pes_weak_foot_accuracy,pes_ball_control,pes_dribbling,pes_tight_possession,pes_balance,pes_low_pass,pes_lofted_pass,pes_place_kicking,pes_curl,pes_heading,pes_jump,pes_defensive_awareness,pes_ball_winning,pes_aggression,pes_speed,pes_acceleration,pes_physical_contact,pes_stamina,pes_form,pes_injury_resistance,pes_gk_awareness,pes_gk_catching,pes_gk_clearing,pes_gk_reflexes,pes_gk_reach,ef_screenshot_ovr,ef_screenshot_position,ef_playing_style,ef_booster_1,ef_booster_2,ef_age,ef_height_cm,ef_weight_kg,ef_foot,ef_condition,ef_offensive_awareness,ef_ball_control,ef_dribbling,ef_tight_possession,ef_low_pass,ef_lofted_pass,ef_finishing,ef_heading,ef_place_kicking,ef_curl,ef_defensive_awareness,ef_defensive_engagement,ef_tackling,ef_aggression,ef_goalkeeping,ef_gk_catching,ef_gk_parrying,ef_gk_reflexes,ef_gk_reach,ef_speed,ef_acceleration,ef_kicking_power,ef_jump,ef_physical,ef_balance,ef_stamina
Adriano,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,86,93,CF,23,189,,80,55,91,0,0,78,90,75,71,96,63,74,76,74,75,91,40,68,73,71,86,71,1,0,40,40,40,40,40,86,CF,Goal Poacher,,,23,189,90,Left,C,80,78,75,75,63,63,74,74,74,76,46,53,40,68,40,40,40,40,40,77,71,91,75,86,71,71
Alexander Isak,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,96,90,CF,21,190,,87,92,85,2,2,85,83,84,89,72,61,68,73,73,69,54,52,55,91,85,74,84,2,1,40,40,40,40,40,96,CF,Goal Poacher,,,26,192,77,Right,B,87,85,87,84,64,61,86,73,68,73,48,51,52,55,40,40,40,40,40,86,85,85,69,74,81,84
Alexandre Lacazette,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,93,92,CF,29,176,,87,89,84,1,2,82,89,82,78,82,68,74,71,76,74,55,58,68,84,79,76,80,1,1,40,40,40,40,40,93,CF,Fox In The Box,,,34,176,77,Right,B,87,82,81,82,73,68,85,76,74,71,55,72,58,68,40,40,40,40,40,79,79,84,74,76,83,80
Antoine Griezmann,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",95,96,95,CF,28,176,,88,57,86,1,1,88,93,87,84,73,75,80,84,75,75,87,53,67,89,84,89,82,2,1,40,40,40,40,40,96,CF,Deep-Lying Forward,,,34,176,73,Left,B,88,88,85,87,81,75,85,75,80,84,51,74,53,67,40,40,40,40,40,83,84,86,75,70,84,82
Antonio Silva,Build Up CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,94,91,CF,25,184,,47,89,70,2,2,70,85,65,88,77,73,54,61,80,84,54,87,86,85,78,85,84,1,1,40,40,40,40,40,94,CB,Build Up,,,22,187,79,Right,B,47,70,63,65,72,73,46,80,54,61,88,86,87,86,40,40,40,40,40,84,78,70,84,85,71,84
Baris Alper Yilmaz,Hole Player CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,93,90,CF,35,188,,81,94,85,1,1,81,76,82,85,77,78,59,65,66,73,56,66,74,87,87,79,85,2,2,40,40,40,40,40,93,LMF,Hole Player,,,25,186,77,Right,B,81,81,85,82,74,78,79,66,59,65,64,72,66,74,40,40,40,40,40,90,87,85,73,79,83,85
Breel Embolo,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,92,90,CF,22,185,,82,56,85,1,2,78,87,76,75,83,67,64,66,74,76,84,56,73,78,83,94,80,1,0,40,40,40,40,40,92,CF,Fox In The Box,,,28,187,88,Right,B,82,78,76,76,73,67,82,74,64,66,54,69,56,73,40,40,40,40,40,83,83,85,76,88,75,80
Ciro Immobile,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",94,94,94,CF,30,185,,86,98,85,1,2,75,84,71,89,78,62,73,66,80,75,54,49,63,88,76,80,74,1,1,40,40,40,40,40,94,CF,Goal Poacher,,,35,185,85,Right,B,86,75,74,71,70,62,93,80,73,66,47,58,49,63,40,40,40,40,40,79,76,85,75,80,74,74
D. Calvert-Lewin,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,93,88,CF,23,187,,84,89,85,1,2,77,76,84,87,75,65,57,62,84,85,58,49,71,88,79,84,82,1,0,40,40,40,40,40,93,CF,Goal Poacher,,,28,187,71,Right,A,84,77,78,84,68,65,82,84,57,62,49,59,49,71,40,40,40,40,40,87,79,85,85,84,74,82
Donyell Malen,Prolific Winger CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,93,88,CF,21,180,,77,87,76,1,2,85,90,86,80,81,67,59,66,67,72,57,56,62,92,91,73,78,1,0,40,40,40,40,40,93,RWF,Prolific Winger,,,26,176,68,Right,B,77,85,86,86,72,67,84,67,59,66,51,58,56,62,40,40,40,40,40,92,91,76,72,73,79,78
Dries Mertens,Hole Player CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,93,92,CF,32,169,,83,55,82,1,2,90,91,90,86,64,79,82,83,67,62,91,51,56,86,85,88,70,2,0,40,40,40,40,40,93,AMF,Hole Player,,,38,169,61,Right,B,83,90,86,90,86,79,86,67,82,83,53,57,51,56,40,40,40,40,40,64,85,82,62,58,86,70
Duvan Zapata,Target Man CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,94,93,CF,29,189,,86,95,89,1,2,76,82,73,96,75,67,67,67,85,87,53,54,68,88,74,91,76,1,0,40,40,40,40,40,94,CF,Target Man,,,34,188,92,Right,B,86,76,75,73,71,67,88,85,67,67,51,63,54,68,40,40,40,40,40,78,74,89,87,91,65,76
Edinson Cavani,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,87,93,CF,32,184,,87,58,84,2,2,73,94,71,55,82,63,68,71,87,80,82,51,77,77,69,84,83,2,0,40,40,40,40,40,87,CF,Goal Poacher,,,38,184,71,Right,B,87,73,68,71,69,63,81,87,68,71,53,87,51,77,40,40,40,40,40,72,69,84,80,73,55,83
Erling Haaland,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,97,92,CF,20,194,,89,95,88,0,2,81,83,76,92,78,62,64,68,76,69,55,49,64,94,84,87,83,2,0,40,40,40,40,40,97,CF,Fox In The Box,,,25,194,87,Left,C,89,81,82,76,68,62,89,76,64,68,48,61,49,64,40,40,40,40,40,86,84,88,69,87,63,83
Fernando Torres,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",89,86,89,CF,30,186,,80,93,83,2,1,74,80,72,77,75,61,64,69,78,75,52,47,61,90,75,78,72,1,0,40,40,40,40,40,86,CF,Goal Poacher,,,21,186,78,Right,C,80,74,76,72,66,61,79,78,64,69,52,58,47,61,40,40,40,40,40,82,75,83,75,78,71,72
Filippo Inzaghi,Goal poacher CF / poacher,paired from user-provided screenshots; public URLs found via web,89,85,97,CF,33,181,74,99,98,89,4,3,86,89,83,88,80,77,79,82,92,93,52,56,76,91,90,78,86,5,2,40,40,40,40,40,104.66,CF,Goal Poacher,Off the Ball +2,Striker's Instinct +,25,181,74,Right,B,102,83,80,76,62,59,94,79,71,74,48,56,47,61,42,41,41,41,41,93,96,90,78,78,87,85
Gabriel Batistuta,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,89,92,CF,31,185,,85,93,88,2,2,77,80,70,89,70,61,77,73,77,73,45,46,63,86,73,79,70,2,0,40,40,40,40,40,89,CF,Fox In The Box,,,30,185,73,Right,C,85,77,74,70,65,61,84,77,77,73,45,44,46,63,40,40,40,40,40,77,73,88,73,79,72,70
Gabriel Jesus,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,95,90,CF,23,175,,87,87,80,1,2,86,87,81,71,74,65,63,73,78,80,55,50,73,88,85,69,83,1,0,40,40,40,40,40,95,CF,Deep-Lying Forward,,,28,175,67,Right,B,87,86,87,81,73,65,85,78,63,73,48,72,50,73,40,40,40,40,40,83,85,80,80,69,89,83
Gerard Moreno,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,96,91,CF,28,180,,87,91,84,2,2,86,82,82,80,81,74,67,76,84,81,55,53,61,78,76,79,82,2,0,40,40,40,40,40,96,CF,Deep-Lying Forward,,,33,180,77,Left,B,87,86,84,82,83,74,91,84,67,76,54,70,53,61,40,40,40,40,40,78,76,84,81,79,73,82
Harry Kane,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",94,96,94,CF,27,188,,92,96,88,2,3,81,81,76,88,85,80,73,74,87,79,53,47,72,81,65,80,79,2,1,40,40,40,40,40,96,CF,Fox In The Box,,,32,188,89,Right,B,92,81,74,76,78,80,96,87,73,74,46,56,47,72,40,40,40,40,40,66,65,88,79,80,62,79
Iago Aspas,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,94,90,CF,33,176,,90,88,85,0,0,84,87,83,71,82,71,79,79,72,68,51,55,62,85,81,63,69,2,0,40,40,40,40,40,94,CF,Goal Poacher,,,38,176,67,Left,B,90,84,83,83,80,71,88,72,79,79,49,84,55,62,40,40,40,40,40,78,81,85,68,63,83,69
Ivan Zamorano,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,86,88,CF,30,178,,84,90,77,1,2,79,76,67,84,73,62,60,54,83,86,54,45,58,85,75,77,75,1,1,40,40,40,40,40,86,CF,Fox In The Box,,,27,178,78,Right,C,84,79,69,67,68,62,81,83,60,54,48,50,45,58,40,40,40,40,40,78,75,77,86,77,66,75
Jaime Mata,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",87,90,87,CF,31,185,,86,59,85,1,1,79,92,74,65,88,67,60,64,77,75,80,53,76,73,72,85,68,1,2,40,40,40,40,40,90,CF,Goal Poacher,,,37,185,79,Right,B,86,79,75,74,69,67,86,77,60,64,50,66,53,76,40,40,40,40,40,75,72,85,75,78,65,68
Jan Koller,Target man CF,paired from user-provided screenshots; public URLs found via web,83,83,90,CF,28,202,99,92,91,89,2,3,72,75,82,77,77,71,79,72,99,94,65,61,72,78,72,99,82,7,1,40,40,40,40,40,104.57,CF,Target Man,Aerial +2,Striker's Instinct +,31,202,99,Right,B,96,74,74,73,66,66,98,95,79,72,53,55,52,60,42,41,41,41,41,80,79,93,82,95,77,87
Karim Benzema,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",95,97,95,CF,32,185,,90,59,84,2,2,89,95,87,74,87,69,69,76,85,75,89,52,67,93,75,81,73,2,1,40,40,40,40,40,97,CF,Deep-Lying Forward,,,38,185,81,Right,B,90,89,83,87,82,69,90,85,69,76,48,64,52,67,40,40,40,40,40,75,75,84,75,78,74,73
Kelechi Iheanacho,Dummy Runner CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",87,92,87,CF,24,185,,83,84,83,0,1,84,83,83,79,79,74,68,73,70,72,54,55,69,88,77,80,80,1,2,40,40,40,40,40,92,CF,Dummy Runner,,,29,185,82,Left,B,83,84,81,83,79,74,81,70,68,73,51,58,55,69,40,40,40,40,40,81,77,83,72,80,83,80
Kevin Volland,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,86,90,CF,27,179,,77,59,85,1,2,77,88,76,80,80,67,73,74,65,72,86,56,66,82,78,84,80,1,1,40,40,40,40,40,86,CF,Goal Poacher,,,33,179,83,Left,B,77,77,78,76,74,67,78,65,73,74,53,67,56,66,40,40,40,40,40,75,78,85,72,73,80,80
Kylian Mbappe,Goal poacher CF / speed finisher,paired from user-provided screenshots; public URLs found via web,91,86,101,CF,22,178,73,97,96,87,3,3,99,99,96,97,84,80,80,85,83,92,66,62,67,99,99,85,91,7,2,40,40,40,40,40,107.03,CF,Goal Poacher,Striker's Instinct +,Striker's Instinct +,27,178,75,Right,C,96,89,90,84,74,70,99,61,78,89,44,44,45,46,42,41,41,41,41,96,101,91,70,80,92,84
Luciano,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",87,94,87,CF,27,178,,84,89,87,2,2,85,82,84,76,79,76,71,75,74,74,58,56,64,82,86,74,82,0,1,40,40,40,40,40,94,CF,Deep-Lying Forward,,,32,178,69,Left,B,84,85,84,84,80,76,84,74,71,75,53,54,56,64,40,40,40,40,40,84,86,87,74,74,83,82
Marco van Basten,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",94,90,94,CF,28,188,,86,97,80,2,2,80,88,74,85,80,71,70,70,83,73,50,50,54,81,76,81,75,2,1,40,40,40,40,40,90,CF,Fox In The Box,,,24,188,80,Right,C,86,80,75,74,72,71,84,83,70,70,47,60,50,54,40,40,40,40,40,74,76,80,73,81,71,75
Marcus Rashford,Prolific Winger CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,93,91,CF,22,187,,78,88,91,1,2,84,88,84,81,79,68,86,81,68,66,54,44,56,95,89,75,79,1,0,40,40,40,40,40,93,LWF,Prolific Winger,,,28,188,80,Right,A,78,84,88,84,69,68,82,68,86,81,42,50,44,56,40,40,40,40,40,88,89,91,66,75,79,79
