player_name,archetype,data_origin,pes_public_base_ovr,ef_public_base_ovr,pes_screenshot_ovr,pes_screenshot_position,pes_age,pes_height_cm,pes_weight_kg,pes_offensive_awareness,pes_finishing,pes_kicking_power,pes_weak_foot_usage,pes_weak_foot_accuracy,pes_ball_control,pes_dribbling,pes_tight_possession,pes_balance,pes_low_pass,pes_lofted_pass,pes_place_kicking,pes_curl,pes_heading,pes_jump,pes_defensive_awareness,pes_ball_winning,pes_aggression,pes_speed,pes_acceleration,pes_physical_contact,pes_stamina,pes_form,pes_injury_resistance,pes_gk_awareness,pes_gk_catching,pes_gk_clearing,pes_gk_reflexes,pes_gk_reach,ef_screenshot_ovr,ef_screenshot_position,ef_playing_style,ef_booster_1,ef_booster_2,ef_age,ef_height_cm,ef_weight_kg,ef_foot,ef_condition,ef_offensive_awareness,ef_ball_control,ef_dribbling,ef_tight_possession,ef_low_pass,ef_lofted_pass,ef_finishing,ef_heading,ef_place_kicking,ef_curl,ef_defensive_awareness,ef_defensive_engagement,ef_tackling,ef_aggression,ef_goalkeeping,ef_gk_catching,ef_gk_parrying,ef_gk_reflexes,ef_gk_reach,ef_speed,ef_acceleration,ef_kicking_power,ef_jump,ef_physical,ef_balance,ef_stamina
Adriano,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,86,93,CF,23,189,,80,55,91,0,0,78,90,75,71,96,63,74,76,74,75,91,40,68,73,71,86,71,1,0,40,40,40,40,40,86,CF,Goal Poacher,,,23,189,90,Left,C,80,78,75,75,63,63,74,74,74,76,46,53,40,68,40,40,40,40,40,77,71,91,75,86,71,71
Alexander Isak,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,96,90,CF,21,190,,87,92,85,2,2,85,83,84,89,72,61,68,73,73,69,54,52,55,91,85,74,84,2,1,40,40,40,40,40,96,CF,Goal Poacher,,,26,192,77,Right,B,87,85,87,84,64,61,86,73,68,73,48,51,52,55,40,40,40,40,40,86,85,85,69,74,81,84
Alexandre Lacazette,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,93,92,CF,29,176,,87,89,84,1,2,82,89,82,78,82,68,74,71,76,74,55,58,68,84,79,76,80,1,1,40,40,40,40,40,93,CF,Fox In The Box,,,34,176,77,Right,B,87,82,81,82,73,68,85,76,74,71,55,72,58,68,40,40,40,40,40,79,79,84,74,76,83,80
Álvaro Morata,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,96,100,96,CF,28,189,85,95,90,89,2,3,91,91,84,79,83,80,73,81,95,90,56,58,77,95,93,91,90,5,2,40,40,40,40,40,100,CF,Goal Poacher,,,33,189,85,Right,C,81,76,70,65,65,60,78,80,59,65,41,51,41,61,40,40,40,40,40,77,75,73,74,73,60,74
Andrea Belotti,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,95,94,95,CF,26,181,72,92,95,93,3,3,85,83,85,84,80,73,79,72,90,94,66,61,82,89,85,89,92,5,2,40,40,40,40,40,94,CF,Goal Poacher,,,32,181,84,Right,C,81,68,67,72,62,61,74,79,64,61,45,76,50,72,40,40,40,40,40,71,65,76,75,76,69,70
Antoine Griezmann,Hole Player CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,97,103,97,CF,28,176,73,98,93,97,1,1,92,89,86,93,92,88,87,89,78,86,60,70,73,91,93,77,88,6,3,40,40,40,40,40,103,SS,Hole Player,,,27,176,73,Left,B,76,82,78,80,77,76,78,68,82,84,57,74,61,69,40,40,40,40,40,75,77,72,75,60,73,76
Antoine Griezmann,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",95,96,95,CF,28,176,,88,57,86,1,1,88,93,87,84,73,75,80,84,75,75,87,53,67,89,84,89,82,2,1,40,40,40,40,40,96,CF,Deep-Lying Forward,,,34,176,73,Left,B,88,88,85,87,81,75,85,75,80,84,51,74,53,67,40,40,40,40,40,83,84,86,75,70,84,82
Antonio Silva,Build Up CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,94,91,CF,25,184,,47,89,70,2,2,70,85,65,88,77,73,54,61,80,84,54,87,86,85,78,85,84,1,1,40,40,40,40,40,94,CB,Build Up,,,22,187,79,Right,B,47,70,63,65,72,73,46,80,54,61,88,86,87,86,40,40,40,40,40,84,78,70,84,85,71,84
Baris Alper Yilmaz,Hole Player CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,93,90,CF,35,188,,81,94,85,1,1,81,76,82,85,77,78,59,65,66,73,56,66,74,87,87,79,85,2,2,40,40,40,40,40,93,LMF,Hole Player,,,25,186,77,Right,B,81,81,85,82,74,78,79,66,59,65,64,72,66,74,40,40,40,40,40,90,87,85,73,79,83,85
Breel Embolo,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,92,90,CF,22,185,,82,56,85,1,2,78,87,76,75,83,67,64,66,74,76,84,56,73,78,83,94,80,1,0,40,40,40,40,40,92,CF,Fox In The Box,,,28,187,88,Right,B,82,78,76,76,73,67,82,74,64,66,54,69,56,73,40,40,40,40,40,83,83,85,76,88,75,80
Ciro Immobile,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,97,99,97,CF,30,185,85,97,99,96,2,3,86,88,80,83,81,75,85,74,93,87,57,59,72,91,87,92,91,7,3,40,40,40,40,40,99,CF,Goal Poacher,,,35,185,85,Right,C,78,71,70,66,66,60,84,76,69,62,48,66,51,60,40,40,40,40,40,73,71,79,70,74,67,72
D. Calvert-Lewin,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,93,88,CF,23,187,,84,89,85,1,2,77,76,84,87,75,65,57,62,84,85,58,49,71,88,79,84,82,1,0,40,40,40,40,40,93,CF,Goal Poacher,,,28,187,71,Right,A,84,77,78,84,68,65,82,84,57,62,49,59,49,71,40,40,40,40,40,87,79,85,85,84,74,82
D. Law,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,94,103,94,CF,24,175,71,99,93,80,4,4,85,89,88,78,87,78,70,66,94,99,51,52,61,86,89,79,92,6,3,40,40,40,40,40,103,CF,Goal Poacher,,,29,175,71,Right,B,84,75,77,75,75,62,82,82,59,56,45,47,46,45,40,40,40,40,40,76,80,70,88,70,69,80
Danny Ings,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,95,89,95,CF,28,178,73,94,95,88,2,3,86,88,86,93,79,76,72,71,84,88,56,61,79,92,90,81,90,6,1,40,40,40,40,40,89,CF,Goal Poacher,,,33,178,73,Right,C,73,65,65,62,61,57,74,66,53,58,41,54,43,60,40,40,40,40,40,66,68,74,66,60,67,63
Darío Benedetto,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,95,87,95,CF,29,177,80,94,94,94,3,4,86,87,86,89,81,75,83,85,85,88,53,55,81,89,89,85,86,6,1,40,40,40,40,40,87,CF,Goal Poacher,,,35,175,75,Right,C,69,69,63,67,64,60,66,65,63,72,43,48,44,60,40,40,40,40,40,63,65,75,70,61,68,62
Dominic Calvert-Lewin,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,95,97,95,CF,23,187,71,90,94,88,2,3,84,81,87,83,80,75,70,76,94,95,63,65,83,93,90,93,93,6,2,40,40,40,40,40,97,CF,Goal Poacher,,,28,187,71,Right,B,73,72,66,74,64,60,72,80,55,60,45,55,45,67,40,40,40,40,40,82,69,74,85,77,64,71
Donyell Malen,Prolific Winger CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,93,88,CF,21,180,,77,87,76,1,2,85,90,86,80,81,67,59,66,67,72,57,56,62,92,91,73,78,1,0,40,40,40,40,40,93,RWF,Prolific Winger,,,26,176,68,Right,B,77,85,86,86,72,67,84,67,59,66,51,58,56,62,40,40,40,40,40,92,91,76,72,73,79,78
Dries Mertens,Hole Player CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,93,92,CF,32,169,,83,55,82,1,2,90,91,90,86,64,79,82,83,67,62,91,51,56,86,85,88,70,2,0,40,40,40,40,40,93,AMF,Hole Player,,,38,169,61,Right,B,83,90,86,90,86,79,86,67,82,83,53,57,51,56,40,40,40,40,40,64,85,82,62,58,86,70
Duván Zapata,Target Man CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,97,98,97,CF,29,189,88,94,98,92,2,3,89,86,82,77,78,72,74,77,92,89,56,57,74,91,85,99,85,6,1,40,40,40,40,40,98,CF,Target Man,,,34,189,88,Right,C,77,70,70,69,65,61,77,74,61,61,46,65,49,66,40,40,40,40,40,71,69,81,74,87,61,72
Edin Džeko,Target Man CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,96,98,96,CF,33,193,80,97,96,95,4,4,90,85,89,89,84,79,69,77,93,78,56,62,72,81,75,93,84,7,2,40,40,40,40,40,98,CF,Target Man,,,39,193,80,Right,C,81,76,67,73,70,65,82,82,67,67,48,57,51,61,40,40,40,40,40,62,52,77,74,78,62,68
Edinson Cavani,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,97,98,97,CF,32,184,71,97,97,92,3,3,89,86,83,81,80,78,89,86,94,92,61,61,80,88,84,85,89,6,3,40,40,40,40,40,98,CF,Goal Poacher,,,38,184,71,Right,C,83,72,66,69,64,61,78,84,68,69,52,81,50,74,40,40,40,40,40,70,64,79,79,73,54,66
Erling Haaland,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,97,92,CF,20,194,,89,95,88,0,2,81,83,76,92,78,62,64,68,76,69,55,49,64,94,84,87,83,2,0,40,40,40,40,40,97,CF,Fox In The Box,,,25,194,87,Left,C,89,81,82,76,68,62,89,76,64,68,48,61,49,64,40,40,40,40,40,86,84,88,69,87,63,83
Fabio Quagliarella,Fox In The Box CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,94,92,94,CF,36,180,79,93,95,92,3,3,89,84,89,83,85,80,86,85,82,81,61,57,68,78,81,85,86,7,3,40,40,40,40,40,92,CF,Fox In The Box,,,42,180,79,Right,C,82,77,69,71,72,68,74,65,70,72,44,46,45,52,40,40,40,40,40,60,60,77,62,65,71,63
Fernando Torres,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",89,86,89,CF,30,186,,80,93,83,2,1,74,80,72,77,75,61,64,69,78,75,52,47,61,90,75,78,72,1,0,40,40,40,40,40,86,CF,Goal Poacher,,,21,186,78,Right,C,80,74,76,72,66,61,79,78,64,69,52,58,47,61,40,40,40,40,40,82,75,83,75,78,71,72
Filippo Inzaghi,Goal Poacher CF,paired from user-provided screenshots; public URLs found via web,89,85,97,CF,33,181,74,99,98,89,4,3,86,89,83,88,80,77,79,82,92,93,52,56,76,91,90,78,86,5,2,40,40,40,40,40,104.66,CF,Goal Poacher,Off the Ball +2,Striker's Instinct +,25,181,74,Right,B,102,83,80,76,62,59,94,79,71,74,48,56,47,61,42,41,41,41,41,93,96,90,78,78,87,85
G. Batistuta,Fox In The Box CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,94,103,94,CF,30,185,73,96,96,99,3,3,87,83,79,82,74,69,88,82,85,83,48,50,77,90,81,89,80,7,1,40,40,40,40,40,103,CF,Fox In The Box,,,31,185,73,Right,B,80,75,76,74,62,60,80,75,66,67,43,42,44,48,40,40,40,40,40,78,78,82,75,77,69,74
Gabriel Batistuta,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,89,92,CF,31,185,,85,93,88,2,2,77,80,70,89,70,61,77,73,77,73,45,46,63,86,73,79,70,2,0,40,40,40,40,40,89,CF,Fox In The Box,,,30,185,73,Right,C,85,77,74,70,65,61,84,77,77,73,45,44,46,63,40,40,40,40,40,77,73,88,73,79,72,70
Gabriel Jesus,Deep-Lying Forward CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,98,100,98,CF,22,175,73,99,96,90,2,3,92,93,89,98,82,73,78,81,82,88,55,59,83,93,95,78,92,6,2,40,40,40,40,40,100,CF,Deep-Lying Forward,,,28,175,67,Right,C,78,79,79,77,68,61,78,71,59,68,44,67,46,68,40,40,40,40,40,77,79,72,74,63,81,78
Gerard Moreno,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,96,91,CF,28,180,,87,91,84,2,2,86,82,82,80,81,74,67,76,84,81,55,53,61,78,76,79,82,2,0,40,40,40,40,40,96,CF,Deep-Lying Forward,,,33,180,77,Left,B,87,86,84,82,83,74,91,84,67,76,54,70,53,61,40,40,40,40,40,78,76,84,81,79,73,82
Harry Kane,Deep-Lying Forward CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,98,102,98,CF,27,188,76,99,99,96,3,3,89,85,88,76,89,90,82,86,92,87,56,63,77,85,80,91,94,6,2,40,40,40,40,40,102,CF,Deep-Lying Forward,,,32,188,89,Right,C,81,77,75,78,78,70,81,74,65,66,41,47,40,53,40,40,40,40,40,73,76,79,70,81,61,71
Harry Kane,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",94,96,94,CF,27,188,,92,96,88,2,3,81,81,76,88,85,80,73,74,87,79,53,47,72,81,65,80,79,2,1,40,40,40,40,40,96,CF,Fox In The Box,,,32,188,89,Right,B,92,81,74,76,78,80,96,87,73,74,46,56,47,72,40,40,40,40,40,66,65,88,79,80,62,79
Iago Aspas,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,95,99,95,CF,32,176,67,95,97,85,1,1,89,95,93,89,87,77,85,86,78,76,55,64,76,84,90,69,81,7,1,40,40,40,40,40,99,CF,Goal Poacher,,,38,176,67,Left,C,81,78,77,77,71,65,78,66,73,73,44,78,50,60,40,40,40,40,40,71,74,78,61,60,76,64
